0.000000,0.006256,0.000000
0.000000,2.817927,25.00000
0.000000,-50.000000,50.0000
0.000000,0.966521,75.00000
25.000000,4.043703,0.00000
25.000000,2.925047,25.0000
25.000000,-50.000000,50.000
25.000000,2.399365,75.0000
50.000000,-50.000000,0.0000
50.000000,-50.000000,25.000
50.000000,-50.000000,50.000
50.000000,-50.000000,75.000
75.000000,1.751457,0.00000
75.000000,4.479812,25.0000
75.000000,-50.000000,50.000
75.000000,4.114200,75.0000
13
-70,30,30
-70,60,30
70,60,30
70,30,30
70,-20,30
70,-20,-30
70,30,-30
70,60,-30
-70,60,-30
-70,30,-30
-70,-20,-30
-70,-20,30
-70,30,30
6
c,25,25
t,-25,-25
c,-46,36
c,16,-7
c,22,36
t,-2,-39
